name,money_raised,announced_date,location,industries,description,funding_type,lead_investors,total_funding
TTTech,"€20,000,000","Mar 7, 2019","Vienna, Wien, Austria, Europe","Aerospace, Autonomous Vehicles, Computer, Electronics, Industrial Automation, Internet of Things, Network Security, Software","TTTech is a leading provider of safe networked computing platforms headquartered in Vienna, Austria.",Venture - Series Unknown,COI Partners,"€169,000,000"
Azur Drones,"€20,000,000","Jan 28, 2022","Mérignac, Aquitaine, France, Europe","Aerospace, Consulting, Drone Management, Drones, Robotics",Azur Drones is a civilian drone in a box manufacturer specializing in surveillance and inspection of critical infrastructures,Series C,—,"€41,500,000"
YASA,"£18,000,000","Sep 10, 2019","Kidlington, Oxfordshire, United Kingdom, Europe","Aerospace, Automotive, Industrial, Manufacturing",Yasa develops and manufactures electric motors and generators of high power and high torque density electric.,Series C,—,"$82,136,437"
Leaf Space,"€20,000,000","Jul 25, 2023","Milan, Lombardia, Italy, Europe","Aerospace, Satellite Communication, Space Travel",Leaf Space wants to simplify the access to Space for microsatellites’ operators.,Series B,"CDP Venture Capital, Neva SGR","€42,362,063"
Wingtra,"$22,000,000","Mar 20, 2023","Zurich, Zurich, Switzerland, Europe","Aerospace, Drone Management, Drones, Manufacturing, Robotics",Wingtra is a manufacturer of professional mapping and surveying drones.,Series B,—,"$43,897,975"
General Radar Corp.,"$22,000,000","Jun 15, 2022","Mountain View, California, United States, North America","Aerospace, Automotive, Sensor",High resolution mm-wave radars for automotive,Series A,Octave Ventures LLC,"$26,860,000"
Wingcopter,"$22,000,000","Jan 25, 2021","Weiterstadt, Hessen, Germany, Europe","Aerospace, Air Transportation, Drones, Last Mile Transportation, Logistics",Wingcopter is a manufacturer of unmanned eVTOL fixed-wing aircrafts for commercial and humanitarian applications.,Series A,"Futury Capital, Xplorer Capital","$109,877,967"
Phantom Space,"$21,630,605","Nov 4, 2021","Tucson, Arizona, United States, North America","Aerospace, Space Travel, Transportation","Phantom Space focuses on space transportation technology including satellites, propulsion, and launch vehicles.",Venture - Series Unknown,—,"$27,655,605"
Aerodome,"$21,500,000","May 22, 2024","New York, New York, United States, North America","Aerospace, Drones, Law Enforcement, Military, Public Safety",Aerodome is a developer of Drone-As-First-Responder technology that allows agencies to deploy drones for missions.,Series A,CRV,"$28,000,000"
ZeroAvia,"$21,400,000","Dec 16, 2020","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series A,"Breakthrough Energy Ventures, Ecosystem Integrity Fund","$259,950,000"
Mind Foundry,"£17,900,000","Feb 24, 2023","Oxford, Oxfordshire, United Kingdom, Europe","Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software, Finance, Infrastructure, Insurance, Machine Learning, National Security",Mind Foundry is an Oxford University company that has developed an AI platform to solve the world's most important problems.,Series B,Aioi Nissay Dowa Insurance,"$52,219,613"
Fusus,"$21,000,000","May 13, 2022","Peachtree City, Georgia, United States, North America","Information Technology, Intelligent Systems, Law Enforcement, Physical Security, Public Safety",Fusus is the most widely used & trusted Real-Time Crime Center platform in U.S. Public Safety,Venture - Series Unknown,—,"$21,000,000"
Onebrief,"$20,953,306","Oct 7, 2022","Honolulu, Hawaii, United States, North America","Big Data, Computer, Military, Productivity Tools, Software","Onebrief is a visual strategy tool that helps in campaign, contingency, and crisis planning.",Venture - Series Unknown,—,"$37,453,815"
Orbex Space,"£16,700,000","Apr 18, 2024","Forres, Moray, United Kingdom, Europe","Aerospace, Autonomous Vehicles, Satellite Communication, Space Travel","Orbex is a space company that offers orbital launch services specifically designed for small satellites, with a focus on reusability.",Series C,—,"$134,493,461"
Usercentrics,"€17,000,000","Dec 16, 2020","Munich, Bayern, Germany, Europe","Cyber Security, Digital Marketing, Identity Management, Law Enforcement, Legal, Legal Tech, Marketing Automation, Privacy, SaaS, Software","Usercentrics is a compliance technology SaaS provider, redefining the way to secure compliant data via consent management.",Series B,Full In,"€21,000,000"
SatVu,"£15,000,000","Oct 19, 2021","London, England, United Kingdom, Europe","Aerospace, Analytics, Geospatial",SatVu - An Earth Observation and satellite imagery analytics company deriving insights into economic activity,Series A,Seraphim Space,"£31,300,000"
Universal Hydrogen,"$20,500,000","Apr 22, 2021","Hawthorne, California, United States, North America","Aerospace, CleanTech, Energy, Infrastructure, Logistics",Universal Hydrogen is a fuel logistics company making hydrogen-powered commercial flight a reality.,Series A,Playground Global,"$82,500,000"
ThayerMahan,"$20,000,000","Jan 9, 2024","Groton, Connecticut, United States, North America","Information Technology, Marine Technology, National Security, Robotics",ThayerMahan is a provider of marine robotic solutions for the government and industry.,Series C,Hanwha Asset Management,"$62,259,982"
B GARAGE,"$20,000,000","Jun 29, 2023","San Jose, California, United States, North America","Aerospace, Drones, Hardware, Industrial Automation, Information Technology, Logistics, Robotics, Software",B GARAGE is an autonomous drone and service company for warehouse inventory management.,Series A,LB Investment,"$30,208,997"
Gravitics,"$20,000,000","Nov 17, 2022","Seattle, Washington, United States, North America","Aerospace, Manufacturing, Space Travel",Gravitics is an aerospace company that designs and manufactures large space structures for human life in space.,Seed,Type One Ventures,"$20,000,000"
Sintavia,"$20,000,000","Jun 28, 2023","Hollywood, Florida, United States, North America","Aerospace, Automotive, Manufacturing, Space Travel, Telecommunications","Sintavia is the leading independent additive manufacturer for the Aerospace, Defense, & Space Industry.",Corporate Round,Lockheed Martin,"$45,000,000"
Venus Aerospace,"$20,000,000","Apr 5, 2022","Houston, Texas, United States, North America","Aerospace, Product Research, Transportation",Venus Aerospace is a space company that provides an innovative approach to hypersonic transportation.,Series A,Prime Movers Lab,"$39,101,960"
Vita Inclinata Technologies,"$20,000,000","Oct 1, 2020","Denver, Colorado, United States, North America","Aerospace, Construction, Military, Oil and Gas",Vita is an aerospace company that builds autonomous systems for helicopter hoisting and sling load missions.,Series B,Keiretsu Forum,"$71,330,000"
Zeno Power,"$20,000,000","Apr 26, 2022","Washington, District of Columbia, United States, North America","Aerospace, Clean Energy, Nuclear","Zeno is developing next-generation radioisotope power systems that generate carbon-free, resilient power for decades.",Series A,Tribe Capital,"$36,870,000"
HySpecIQ,"$20,000,000","Sep 15, 2021","Herndon, Virginia, United States, North America","Aerospace, Small and Medium Businesses",HySpecIQ specializes in hyperspectral imagery services.,Series B,Peter Thiel,"$20,000,000"
Adranos Energetics,"$20,000,000","Apr 26, 2022","Lafayette, Indiana, United States, North America","Aerospace, Industrial, Military","Adranos Energetics develops propellants, explosives, and other energetic materials for use in space and military platforms.",Series A,—,"$32,890,000"
ICON Aircraft,"$20,000,000","Mar 19, 2019","Vacaville, California, United States, North America","Aerospace, Hardware, Infrastructure, Manufacturing, Transportation","ICON Aircraft manufactures consumer-friendly, safe, technologically advanced aircrafts.",Venture - Series Unknown,—,"$109,466,000"
Loft Dynamics,"$20,000,000","Dec 5, 2022","Zürich, Zurich, Switzerland, Europe","Aerospace, Training, Virtual Reality, Virtualization",Loft Dynamics provides professional virtual reality flight simulation training.,Series A,"Craft Ventures, Sky Dayton, UP Ventures","$29,265,093"
Echodyne,"$20,000,000","Sep 11, 2019","Kirkland, Washington, United States, North America","Electronics, National Security, Sensor, Software",Echodyne develops and manufactures meta-materials-based radar technologies.,Series C,"Bill Gates, Vanedge Capital","$199,000,000"
AKHAN Semiconductor,"$20,000,000","Feb 17, 2022","Gurnee, Illinois, United States, North America","Aerospace, Automotive, Consumer Electronics, Manufacturing, Military, Semiconductor, Telecommunications",AKHAN Semiconductor is a fab-lite semiconductor company in the U.S. specializing in diamond semiconductor materials and devices.,Venture - Series Unknown,—,"$37,919,412"
Magnax,"€20,000,000","Aug 23, 2022","Kortrijk, West-Vlaanderen, Belgium, Europe","Aerospace, Air Transportation, Automotive, Electric Vehicle",Magnax develops axial flux electric motors with extreme power density for next-gen electric vehicles and aircraft,Venture - Series Unknown,—,"$39,927,284"
ANDE,"$19,751,643","Mar 19, 2020","Longmont, Colorado, United States, North America","Biometrics, Law Enforcement, Public Safety",ANDE specializes in designing rapid DNA analysis products and services.,Venture - Series Unknown,—,"$84,595,367"
Percipient.ai,"$19,499,998","Oct 1, 2019","Santa Clara, California, United States, North America","Analytics, Artificial Intelligence (AI), Machine Learning, National Security, Security",Percipient.ai is a provider of an artificial intelligence advanced analytics platform designed to provide solutions for Intelligence.,Series B,—,"$87,199,995"
Magnax,"€16,000,000","Dec 24, 2020","Kortrijk, West-Vlaanderen, Belgium, Europe","Aerospace, Air Transportation, Automotive, Electric Vehicle",Magnax develops axial flux electric motors with extreme power density for next-gen electric vehicles and aircraft,Series A,Hirschvogel Ventures,"$39,927,284"
Unifly,"€17,000,000","Jul 2, 2019","Antwerp, Antwerpen, Belgium, Europe","Aerospace, Drone Management, Drones, Mobile Apps, Navigation, Robotics, Smart Cities, Software, Software Engineering",Unifly is a provider of an Unmanned Traffic Management platform allowing the safe integration of drones into the airspace.,Series B,—,"€33,200,000"
Binalyze,"$19,000,000","Sep 12, 2023","Tallinn, Harjumaa, Estonia, Europe","Cyber Security, Information Technology, Law Enforcement, Software",Binalyze the world's fastest and most comprehensive DFIR platform to speed up cyber incident response and improve cyber resilience.,Series A,Molten Ventures,"$30,813,796"
Cambium,"$19,000,000","Dec 5, 2023","Mojave, California, United States, North America","Advanced Materials, Aerospace, Law Enforcement, National Security, Renewable Energy","Cambium develops biomaterials for applications across defense, space, aerospace, and renewable energy.",Series A,8VC,"$27,012,877"
Bye Aerospace,"$19,000,000","Nov 4, 2021","Englewood, Colorado, United States, North America","Aerospace, Air Transportation, Consulting, Industrial Engineering, Renewable Energy","Bye Aerospace designs, builds, and markets electric-powered and solar-powered aircraft.",Series B,—,"$32,855,043"
Firehawk Aerospace,"$19,000,000","Sep 27, 2022","Dallas, Texas, United States, North America","3D Printing, Aerospace, Manufacturing, National Security, Space Travel",Firehawk Aerospace develops and manufactures hybrid rocket engines and propulsion systems.,Series A,—,"$21,500,000"
PlanetIQ,"$18,700,000","Jul 10, 2019","Golden, Colorado, United States, North America","Aerospace, GPS, Information Technology",PlanetIQ utilizes commercial satellite constellation to provide weather data to inform on-the-ground decision making.,Series B,"AV8 Ventures, New Science Ventures","$37,601,578"
SATLANTIS,"€16,500,000","Nov 26, 2021","Bilbao, Pais Vasco, Spain, Europe","Aerospace, Geospatial, Manufacturing",SATLANTIS designs and manufactures high performance Earth observation payloads for small satellites.,Venture - Series Unknown,—,"€34,717,593"
Expliseat,"€17,000,000","Apr 25, 2023","Paris, Ile-de-France, France, Europe","Aerospace, Air Transportation, Manufacturing",Expliseat is a company that makes titanium seats for your aircraft that are light in weight.,Series B,—,"€17,000,000"
SWISSto12,"CHF18,100,000","Aug 29, 2019","Renens, Vaud, Switzerland, Europe","Aerospace, Manufacturing, Satellite Communication",Cutting edge radio frequency products leveraging upon a proprietary 3D-printing technology for aerospace applications.,Series B,"Swisscanto Private Equity, Swisscom Ventures","CHF43,860,000"
Fortem Technologies,"$17,800,000","Feb 21, 2023","Pleasant Grove, Utah, United States, North America","Aerospace, Air Transportation, Autonomous Vehicles, Drone Management, Mechanical Engineering","Fortem Technologies is a privately held, venture backed company that delivers ultra small C-SWAP radar to enable the autonomous revolution.",Venture - Series Unknown,"Alternative Investment Management, Hanwha Aerospace, Lockheed Martin Ventures","$39,670,669"
Quantum Systems,"$17,500,000","Oct 16, 2022","Gilching, Bayern, Germany, Europe","Aerospace, Agriculture, Mapping Services, Robotics","Unmanned aerial systems, drones, UAV",Venture - Series Unknown,—,"$166,614,172"
Ramon.Space,"$17,500,000","May 25, 2021","Los Altos, California, United States, North America","Aerospace, Computer, Electronics, Machine Learning, Semiconductor, Software",Ramon.Space builds space-resilient computing infrastructure,Series A,StageOne Ventures,"$43,500,000"
Epirus,"$17,388,878","Nov 8, 2019","Hawthorne, California, United States, North America","Aerospace, Machinery Manufacturing, Military, Software",Epirus builds directed energy and power management systems to solve some of the world’s most complex problems.,Series A,8VC,"$287,631,878"
Hidden Level,"$17,298,888","Jun 14, 2021","Syracuse, New York, United States, North America","Aerospace, Software, Wired Telecommunications","Hidden Level is an aviation and aerospace company that specializes in radar sensors, engineering contracting, and digital signal processing.",Series A,lobby capital,"$30,858,888"
Vaya Space,"$17,100,000","Jan 18, 2023","Cocoa, Florida, United States, North America","Aerospace, Manufacturing, Transportation",Vaya Space is a sustainable aviation and aerospace company producing rockets for low-reach orbit.,Venture - Series Unknown,—,"$36,416,772"
Apex - Spacecraft Manufacturing,"$17,000,000","Jun 22, 2023","Los Angeles, California, United States, North America","Aerospace, Commercial, Manufacturing",Apex manufactures smallsat buses for commercial and government customers.,Series A,"Andreessen Horowitz, Shield Capital","$27,000,000"
9T Labs,"$17,000,000","Feb 22, 2022","Zürich, Zurich, Switzerland, Europe","Aerospace, Automotive, Industrial, Industrial Engineering, Mechanical Engineering",Making industry grade carbon fiber composites more accessible to series production through additive manufacturing.,Series A,—,"$22,500,000"
Portside,"$17,000,000","May 20, 2021","San Francisco, California, United States, North America","Aerospace, Air Transportation, Analytics, Software, Transportation","Portside is an aircraft data, reporting, and analytics platform for individual and corporate plane owners.",Series A,Tiger Global Management,"$67,273,880"
True Anomaly,"$17,000,000","Apr 6, 2023","Centennial, Colorado, United States, North America","Aerospace, Machinery Manufacturing, Military, Space Travel","True Anomaly develops space security technologies using AI, software, and spacecraft to enhance global security and sustainability.",Series A,Eclipse Ventures,"$158,019,000"
DRONAMICS,"€15,000,000","Dec 2, 2021","London, England, United Kingdom, Europe","Aerospace, Drones, Logistics, Shipping",DRONAMICS is a cargo drone airline that develops drone technology for cargo transportation and logistics operations.,Seed,Eleven Ventures,"$75,418,626"
SATLANTIS,"€14,000,000","Apr 20, 2021","Bilbao, Pais Vasco, Spain, Europe","Aerospace, Geospatial, Manufacturing",SATLANTIS designs and manufactures high performance Earth observation payloads for small satellites.,Series B,Enagas,"€34,717,593"
Isar Aerospace,"€15,000,000","Dec 10, 2019","Munich, Bayern, Germany, Europe","Aerospace, Information Technology, Space Travel","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.",Series A,Earlybird Venture Capital,"$350,641,701"
Atomos Space,"$16,217,041","Jan 6, 2023","Denver, Colorado, United States, North America","Aerospace, Logistics, Nuclear, Robotics, Space Travel",Atomos Space is an aerospace company building and developing orbital transfer vehicles.,Series A,"Cantos, Yamauchi-No.10 Family Office","$21,897,041"
Onebrief,"$16,000,509","Apr 22, 2024","Honolulu, Hawaii, United States, North America","Big Data, Computer, Military, Productivity Tools, Software","Onebrief is a visual strategy tool that helps in campaign, contingency, and crisis planning.",Venture - Series Unknown,—,"$37,453,815"
Hermeus,"$16,000,000","Oct 29, 2020","Atlanta, Georgia, United States, North America","Aerospace, Air Transportation, Infrastructure, Travel",Hermeus is developing Mach 5 aircraft to speed up the global transportation network.,Series A,Canaan Partners,"$176,000,000"
Orbital Sidekick,"$16,000,000","Jan 4, 2021","San Francisco, California, United States, North America","Aerospace, Information Technology, Satellite Communication",OSK is a satellite-based hyperspectral monitoring service helping organizations meet their sustainability and security goals.,Series A,Temasek Holdings,"$46,774,998"
True Anomaly,"$16,000,000","Dec 6, 2022","Centennial, Colorado, United States, North America","Aerospace, Machinery Manufacturing, Military, Space Travel","True Anomaly develops space security technologies using AI, software, and spacecraft to enhance global security and sustainability.",Venture - Series Unknown,—,"$158,019,000"
Orbital Sidekick,"$16,000,000","Oct 15, 2020","San Francisco, California, United States, North America","Aerospace, Information Technology, Satellite Communication",OSK is a satellite-based hyperspectral monitoring service helping organizations meet their sustainability and security goals.,Venture - Series Unknown,—,"$46,774,998"
AKHAN Semiconductor,"$15,970,329","Nov 9, 2021","Gurnee, Illinois, United States, North America","Aerospace, Automotive, Consumer Electronics, Manufacturing, Military, Semiconductor, Telecommunications",AKHAN Semiconductor is a fab-lite semiconductor company in the U.S. specializing in diamond semiconductor materials and devices.,Venture - Series Unknown,—,"$37,919,412"
Venus Aerospace,"$15,928,461","Jun 6, 2023","Houston, Texas, United States, North America","Aerospace, Product Research, Transportation",Venus Aerospace is a space company that provides an innovative approach to hypersonic transportation.,Venture - Series Unknown,"Airbus Ventures, Alumni Ventures","$39,101,960"
Crisalion Mobility,"€15,000,000","Oct 26, 2023","Madrid, Madrid, Spain, Europe","Aerospace, Electric Vehicle, Manufacturing",Crisalion Mobility is an aircraft manufacturing company that focuses on the design and development of advanced electric mobility solutions.,Series A,"Grupo Ibérica, Valdemira","€20,400,000"
SatVu,"£12,700,000","May 24, 2023","London, England, United Kingdom, Europe","Aerospace, Analytics, Geospatial",SatVu - An Earth Observation and satellite imagery analytics company deriving insights into economic activity,Series A,Molten Ventures,"£31,300,000"
GeoOptics,"$15,664,358","Feb 19, 2021","Pasadena, California, United States, North America","Aerospace, Data Integration, Environmental Consulting, Geospatial, Information Services","Geooptics is an environmental data company that carries out daily weather forecasting, environmental monitoring, and research activities.",Venture - Series Unknown,—,"$20,817,108"
Interlune,"$15,500,000","Mar 13, 2024","Estes Park, Colorado, United States, North America","Aerospace, Information Technology, Space Travel",Interlune is a lunar resource startup that provides resources for a clean and sustainable economy on Earth and in space.,Seed,Seven Seven Six,"$17,350,000"
PPG Aerospace,"$15,500,000","Dec 17, 2019","Atlanta, Georgia, United States, North America","Aerospace, Air Transportation, Chemical, Transportation",PPG Aerospace is comprised of a unique group of products and services.,Venture - Series Unknown,PPG Industries,"$15,500,000"
Ursa Major,"$15,470,000","Jul 1, 2019","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Series B,Alpha Edison,"$271,829,970"
Biofire,"$15,200,000","Nov 7, 2022","Broomfield, Colorado, United States, North America","Biometrics, Consumer Electronics, Government, Law Enforcement, Military, Public Safety, Security",Biofire is a leading defense technology company dedicated to building the future of firearms,Series A,Founders Fund,"$37,200,000"
Ursa Major,"$15,009,194","Jan 12, 2021","Berthoud, Colorado, United States, North America","Aerospace, National Security, Satellite Communication, Space Travel","Ursa Major provides a propulsion system for space launch, hypersonics, and national security.",Venture - Series Unknown,—,"$271,829,970"
Saronic,"$15,000,000","Feb 7, 2023","Austin, Texas, United States, North America","Artificial Intelligence (AI), Drones, Government, Military, National Security",Saronic provides naval and maritime forces with the most intelligent Autonomous Surface Vessels available.,Seed,8VC,"$70,000,000"
Jetson Aero,"$15,000,000","Sep 7, 2023","Stockholm, Stockholms Lan, Sweden, Europe","Aerospace, Electric Vehicle, Travel",Jetson Aero is to make the skies available for everyone with our safe personal electric aerial vehicle.,Seed,—,"$24,439,522"
Hydrosat,"$15,000,000","Apr 25, 2023","Washington, District of Columbia, United States, North America","Aerospace, AgTech, Analytics, Artificial Intelligence (AI), Big Data, Geospatial, Information Services, Machine Learning","Hydrosat provides geospatial intelligence for food security, critical infrastructure, and the environment.",Series A,Statkraft Ventures,"$35,623,002"
Skyways,"$15,000,000","Dec 3, 2021","Austin, Texas, United States, North America","Aerospace, Drone Management, Drones, Software, Transportation",Skyways is creating a new form of transportation to advance our civilization.,Series A,—,"$16,120,000"
Quantum Space,"$15,000,000","Dec 13, 2022","Rockville, Maryland, United States, North America",Aerospace,"Quantum Space provides data buy services, deploys spacecraft, and performs space logistics for partners.",Series A,Prime Movers Lab,"$15,000,000"
Next Level Aviation,"$15,000,000","Jan 10, 2020","Sunrise, Florida, United States, North America",Aerospace,Next Level Aviation operator of an aviation asset trading firm intended to trade QEC and airframe rotatable material for modern aircraft.,Venture - Series Unknown,—,"$15,000,000"
Akash Systems,"$14,500,000","Jul 10, 2019","San Francisco, California, United States, North America","Aerospace, Information Technology, Manufacturing, Satellite Communication, Space Travel",Akash Systems is focused on developing and supplying the next generation of communications gear for space satellites.,Series A,Khosla Ventures,"$17,600,000"
Castelion,"$14,200,000","Oct 5, 2023","El Segundo, California, United States, North America","Aerospace, Government, Manufacturing, Military, National Security",Castelion is a defense tech company that applies modern hardware development and manufacturing processes to national security challenges.,Seed,"Andreessen Horowitz, Lavrock Ventures","$19,614,995"
OxMet Technologies,"£10,780,000","Jan 24, 2020","Yarnton, Oxfordshire, United Kingdom, Europe","3D Printing, Aerospace, Automotive, Electronics, Manufacturing","OxMet Technologies develops, licenses, and manufactures proprietary alloys, alloy powders and alloy components.",Series B,Oxford Science Enterprises,"£18,780,000"
Elixir Aircraft,"€13,000,000","Feb 27, 2024","La Rochelle, Poitou-Charentes, France, Europe","Aerospace, Industrial, Manufacturing","Elixir Aircraft is an aerospace company that provides aircraft, component manufacturing, and training services.",Venture - Series Unknown,"Bpifrance, Innovacom","€13,000,000"
Starfish Space,"$14,000,000","Mar 8, 2023","Seattle, Washington, United States, North America","Aerospace, Manufacturing, Space Travel, Transportation","Starfish Space develops and manufactures autonomous space vehicles that perform in-orbit, satellite servicing missions.",Series A,"Munich Re Ventures, Toyota Ventures","$33,950,000"
First Resonance,"$14,000,000","Dec 9, 2021","Los Angeles, California, United States, North America","Aerospace, Industrial Automation, Manufacturing, Operating Systems, Software","First Resonance develops ION Factory OS, a robust manufacturing production software that provides data insights and improves scalability.",Series A,Craft Ventures,"$19,300,000"
Capella Space,"$13,700,000","Apr 23, 2019","San Francisco, California, United States, North America","Aerospace, Geospatial, Image Recognition, Information Services",Capella Space is an information services company that provides on-demand 24/7 SAR data for government and commercial customers.,Series B,Cota Capital,"$238,969,988"
Mind Foundry,"$13,600,000","Oct 30, 2020","Oxford, Oxfordshire, United Kingdom, Europe","Artificial Intelligence (AI), Big Data, Data Integration, Enterprise Software, Finance, Infrastructure, Insurance, Machine Learning, National Security",Mind Foundry is an Oxford University company that has developed an AI platform to solve the world's most important problems.,Series A,Aioi Nissay Dowa Insurance,"$52,219,613"
Cranfield Aerospace,"£10,000,000","Mar 24, 2022","Cranfield, Bedfordshire, United Kingdom, Europe","Aerospace, Manufacturing",Cranfield Aerospace is an aerospace company focusing on the prototyping of new aerospace concepts.,Venture - Series Unknown,"HydrogenOne Capital, Safran Corporate Ventures","£20,000,000"
Armada,"$13,000,000","Feb 28, 2023","San Francisco, California, United States, North America","Artificial Intelligence (AI), Cloud Computing, Data Center, National Security, Software",Welcome to the new edge. Armada is the world’s first full-stack edge computing platform.,Seed,"Founders Fund, Lux Capital, Shield Capital","$60,300,000"
Geminus,"$13,000,000","Jan 10, 2024","Cambridge, Massachusetts, United States, North America","Aerospace, Artificial Intelligence (AI), Chemical, Clean Energy, Energy Efficiency, Energy Storage, Oil and Gas, Renewable Energy, Semiconductor","Geminus is pioneering AI for engineering and science, delivering new, disruptive AI approaches based on physics.",Series A,SLB,"$22,900,000"
Agile Space Industries,"$13,000,000","Jun 23, 2023","Durango, Colorado, United States, North America","3D Printing, Aerospace, Air Transportation, Space Travel","Agile Space Industries is an aviation and aerospace that specializes in propulsion, test rockets, and space exploration.",Seed,Caruso Ventures,"$18,140,000"
Near Space Labs,"$13,000,000","Sep 20, 2021","Brooklyn, New York, United States, North America","Aerospace, Computer Vision, Geospatial, Robotics, Software",Near Space Labs is an aerial imagery company that provides timely wide-scale imagery from the stratosphere at affordable prices.,Series A,Crosslink Capital,"$14,500,000"
Loft Orbital,"$13,000,000","Nov 13, 2019","San Francisco, California, United States, North America","Aerospace, Satellite Communication","Loft Orbital leases space on satellites for any organization to collect information about the Earth, from space.",Series A,Foundation Capital,"$156,200,000"
ZeroAvia,"$13,000,000","Jun 29, 2021","Hollister, California, United States, North America","Aerospace, Air Transportation, CleanTech, Industrial",ZeroAvia develops zero-emission hydrogen fuel cell powertrain solutions for aircraft.,Series A,—,"$259,950,000"
Inertial Labs,"$12,600,000","Feb 6, 2024","Paeonian Springs, Virginia, United States, North America","Aerospace, Autonomous Vehicles, Electronics, Geospatial, GPS, Manufacturing, Military, Navigation","Inertial Labs is supplies Inertial Navigation Systems, Orientation Systems, Motion Capture and Military Training Systems.",Venture - Series Unknown,—,"$17,700,768"
AeroCloud,"$12,600,000","Feb 21, 2023","Stockport, Stockport, United Kingdom, Europe","Aerospace, Air Transportation, Artificial Intelligence (AI), Computer Vision, Machine Learning, Software","AeroCloud is bringing cloud-native, AI-powered software to airports of all sizes.",Series A,Stage 2 Capital,"$14,300,000"
GIGA Venture,"£10,000,000","Sep 1, 2023","London, England, United Kingdom, Europe","Aerospace, Artificial Intelligence (AI), Financial Services, Impact Investing, Incubators, Manufacturing, Venture Capital",Unicorn Startups Venture Fund and Incubator Powered by Unicorn Metric AI,Pre-Seed,—,"£10,000,000"
Firestorm,"$12,500,000","Mar 8, 2024","San Diego, California, United States, North America","3D Printing, Aerospace, Drones, Government, Industrial Engineering, Industrial Manufacturing, Machinery Manufacturing, Military, National Security","Developing Low-Cost, Modular Unmanned Systems. Designed For Warfighters. Future-Proofed For Tomorrow.",Seed,Lockheed Martin Ventures,"$20,519,500"
Cranfield Aerospace,"£10,000,000","Apr 21, 2023","Cranfield, Bedfordshire, United Kingdom, Europe","Aerospace, Manufacturing",Cranfield Aerospace is an aerospace company focusing on the prototyping of new aerospace concepts.,Venture - Series Unknown,—,"£20,000,000"
CivicEye,"$12,400,000","Jul 21, 2022","Charlotte, North Carolina, United States, North America","Government, GovTech, Information Services, Law Enforcement, Public Safety, Software",CivicEye delivers critical software for prosecutors and law enforcement with a mission to improve community outcomes.,Series A,Cercano Management,"$12,400,000"
Odys Aviation,"$12,400,000","Feb 10, 2022","Long Beach, California, United States, North America","Aerospace, Air Transportation, Commercial",Odys Aviation is an aircraft startup making hybrid-electric vertical takeoff and landing (VTOL) aircraft for regional mobility.,Seed,—,"$15,900,000"
CesiumAstro,"$12,400,000","Mar 13, 2019","Austin, Texas, United States, North America","Aerospace, Drones, Satellite Communication, Space Travel","CesiumAstro provides out-of-the-box communication systems for satellites, UAVs, launch vehicles, and other space or airborne platforms.",Series A,Airbus Ventures,"$120,239,195"
Aerospacelab,"€11,000,000","Apr 24, 2019","Mont-saint-guibert, Brabant Wallon, Belgium, Europe",Aerospace,Aerospacelab is a company aiming at tackling some of the most challenging problems with a completely different paradigm.,Series A,XAnge,"€51,000,000"
Dedrone,"$12,100,000","Oct 1, 2020","San Francisco, California, United States, North America","Cyber Security, Drone Management, National Security, Sensor",Dedrone develops drone detection technology to protect organizations from malicious drones by securing the airspace.,Venture - Series Unknown,TempoCap,"$127,859,970"
Lunar Outpost,"$12,000,000","May 24, 2022","Golden, Colorado, United States, North America","Aerospace, Information Technology, Robotics",Lunar Outpost creates technologies that enable a sustainable presence in cislunar space while driving a positive impact here on Earth.,Seed,Explorer 1 Fund,"$12,000,000"
Sagetech,"$12,000,000","Jun 29, 2021","Washington, District of Columbia, United States, North America","Aerospace, Drones, Manufacturing",Sagetech is an aviation & aerospace company offering engineering and designing services.,Venture - Series Unknown,Due West Partners,"$12,000,000"
Vaya Space,"$12,000,000","Aug 30, 2021","Cocoa, Florida, United States, North America","Aerospace, Manufacturing, Transportation",Vaya Space is a sustainable aviation and aerospace company producing rockets for low-reach orbit.,Venture - Series Unknown,—,"$36,416,772"
Vannevar Labs,"$12,000,000","Aug 25, 2021","Palo Alto, California, United States, North America","Aerospace, Artificial Intelligence (AI), GovTech, National Security, Software",Vannevar Labs is a technology startup providing defense and national security technologies for critical national security problems.,Series A,"Costanoa Ventures, Point72 Ventures","$87,000,000"
Picogrid,"$12,000,000","Mar 26, 2024","El Segundo, California, United States, North America","Artificial Intelligence (AI), Government, Industrial, Military",Picogrid builds a unified platform for autonomous systems.,Seed,"Alumni Ventures, Initialized Capital","$12,000,000"
Allen Control Systems,"$12,000,000","Apr 18, 2024","Austin, Texas, United States, North America","Drones, Manufacturing, National Security",Allen Control Systems is a defense technology firm for a new era of drone warfare.,Seed,Craft Ventures,"$12,000,000"
